ticker,name,sector,market,index_
L,Loews Corporation,Financials,US,S&P500
LOW,Lowe's,Consumer Discretionary,US,S&P500
LULU,Lululemon Athletica,Consumer Discretionary,US,S&P500
LITE,Lumentum,Information Technology,US,S&P500
LYB,LyondellBasell,Materials,US,S&P500
MTB,M&T Bank,Financials,US,S&P500
MPC,Marathon Petroleum,Energy,US,S&P500
MAR,Marriott International,Consumer Discretionary,US,S&P500
MRSH,Marsh McLennan,Financials,US,S&P500
MLM,Martin Marietta Materials,Materials,US,S&P500
MAS,Masco,Industrials,US,S&P500
MA,Mastercard,Financials,US,S&P500
MKC,McCormick & Company,Consumer Staples,US,S&P500
MCD,McDonald's,Consumer Discretionary,US,S&P500
MCK,McKesson Corporation,Health Care,US,S&P500
MDT,Medtronic,Health Care,US,S&P500
MRK,Merck & Co.,Health Care,US,S&P500
META,Meta Platforms,Communication Services,US,S&P500
MET,MetLife,Financials,US,S&P500
MTD,Mettler Toledo,Health Care,US,S&P500
MGM,MGM Resorts,Consumer Discretionary,US,S&P500
MCHP,Microchip Technology,Information Technology,US,S&P500
MU,Micron Technology,Information Technology,US,S&P500
MSFT,Microsoft,Information Technology,US,S&P500
MAA,Mid-America Apartment Communities,Real Estate,US,S&P500
MRNA,Moderna,Health Care,US,S&P500
TAP,Molson Coors Beverage Company,Consumer Staples,US,S&P500
MDLZ,Mondelez International,Consumer Staples,US,S&P500
MPWR,Monolithic Power Systems,Information Technology,US,S&P500
MNST,Monster Beverage,Consumer Staples,US,S&P500
MCO,Moody's Corporation,Financials,US,S&P500
MS,Morgan Stanley,Financials,US,S&P500
MOS,Mosaic Company (The),Materials,US,S&P500
MSI,Motorola Solutions,Information Technology,US,S&P500
MSCI,MSCI Inc.,Financials,US,S&P500
NDAQ,"Nasdaq, Inc.",Financials,US,S&P500
NTAP,NetApp,Information Technology,US,S&P500
NFLX,Netflix,Communication Services,US,S&P500
NEM,Newmont,Materials,US,S&P500
NWSA,News Corp (Class A),Communication Services,US,S&P500
NWS,News Corp (Class B),Communication Services,US,S&P500
NEE,NextEra Energy,Utilities,US,S&P500
NKE,"Nike, Inc.",Consumer Discretionary,US,S&P500
NI,NiSource,Utilities,US,S&P500
NDSN,Nordson Corporation,Industrials,US,S&P500
NSC,Norfolk Southern,Industrials,US,S&P500
NTRS,Northern Trust,Financials,US,S&P500
NOC,Northrop Grumman,Industrials,US,S&P500
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,US,S&P500
NRG,NRG Energy,Utilities,US,S&P500
NUE,Nucor,Materials,US,S&P500
NVDA,Nvidia,Information Technology,US,S&P500
NVR,"NVR, Inc.",Consumer Discretionary,US,S&P500
NXPI,NXP Semiconductors,Information Technology,US,S&P500
ORLY,O’Reilly Automotive,Consumer Discretionary,US,S&P500
OXY,Occidental Petroleum,Energy,US,S&P500
ODFL,Old Dominion,Industrials,US,S&P500
OMC,Omnicom Group,Communication Services,US,S&P500
ON,ON Semiconductor,Information Technology,US,S&P500
OKE,Oneok,Energy,US,S&P500
